code_iris,nom_iris,code_commune,nom_commune,code_epci,nom_epci,code_departement,nom_departement,code_region,nom_region,wkt,centroid_lon,centroid_lat
751020602.0,Vivienne 2,75102,Paris 2e Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3393698 48.8694866, 2.3393667 48.8694873, 2.3393634 48.8694880, 2.3390351 48.8695585)",2.3392024527156656,48.8695225622042
751020501.0,Gaillon 1,75102,Paris 2e Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3331846 48.8701290, 2.3331818 48.8701296, 2.3331785 48.8701302, 2.3331722 48.8701315)",2.333178399601892,48.87013024725823
751010206.0,Les Halles 6,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3411283 48.8644548, 2.3411903 48.8644262, 2.3412490 48.8643991, 2.3412540 48.8643968)",2.341191150743318,48.86442580160611
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3324772 48.8657817, 2.3324797 48.8657858, 2.3325045 48.8658267)",2.3324908546266307,48.86580419718675
751010401.0,Place Vendôme 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3258954 48.8658221, 2.3259013 48.8658201, 2.3259073 48.8658181)",2.325901347461945,48.865820092449766
751010302.0,Palais Royal 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3384777 48.8646027, 2.3385519 48.8647413, 2.3385530 48.8647434, 2.3385552 48.8647476)",2.3385164771052995,48.8646751356459
751010401.0,Place Vendôme 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3268023 48.8655452, 2.3267967 48.8655470, 2.3267847 48.8655509, 2.3262186 48.8657329, 2.3261240 48.8657633, 2.3261240 48.8657813, 2.3261377 48.8657993)",2.326445070469448,48.86566118009716
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3295396 48.8681366, 2.3296268 48.8680837, 2.3297030 48.8680502, 2.3297086 48.8680477)",2.3296226667727904,48.86808939761866
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3253463 48.8690636, 2.3252508 48.8693261, 2.3252917 48.8693333, 2.3256189 48.8693873, 2.3258370 48.8694233)",2.325465420759893,48.86931732649805
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3251267 48.8686381, 2.3250696 48.8686262)",2.32509815,48.86863215
751020601.0,Vivienne 1,75102,Paris 2e Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3360199 48.8671666, 2.3360717 48.8672861, 2.3360726 48.8672883, 2.3360744 48.8672925)",2.336047179159065,48.86722953763528
751020501.0,Gaillon 1,75102,Paris 2e Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3335053 48.8686440, 2.3334572 48.8686504, 2.3333617 48.8686324, 2.3333345 48.8686324, 2.3332254 48.8689112)",2.333331203370558,48.86872413830792
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3264374 48.8676573, 2.3264344 48.8676537, 2.3264312 48.8676498, 2.3264203 48.8676368)",2.3264288639693773,48.86764703838429
751010402.0,Place Vendôme 2,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3330620 48.8666900, 2.3330607 48.8666880, 2.3330594 48.8666859, 2.3330211 48.8666270)",2.333041571133581,48.86665848658718
751010105.0,Tuileries,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3239160 48.8651426, 2.3239220 48.8651406, 2.3247067 48.8648819, 2.3250475 48.8647650, 2.3253063 48.8652147)",2.324692795316752,48.86496571558536
751010105.0,Tuileries,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3267147 48.8653916, 2.3266557 48.8653137, 2.3266012 48.8652328, 2.3253336 48.8651967)",2.3260593968902863,48.86522785809711
751010301.0,Palais Royal 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3335447 48.8641900, 2.3335501 48.8641874, 2.3337983 48.8640649, 2.3338037 48.8640623)",2.333674199999999,48.86412615
751010301.0,Palais Royal 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3334379 48.8662714, 2.3334233 48.8662745, 2.3333755 48.8662628, 2.3333592 48.8662592, 2.3333537 48.8662682, 2.3332120 48.8665101)",2.333310095027663,48.86635921745528
751010301.0,Palais Royal 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3355799 48.8663497, 2.3355974 48.8663843, 2.3356043 48.8663974)",2.3355920213040924,48.86637359062316
751010301.0,Palais Royal 1,75101,Paris 1er Arrondissement,200054781,Métropole du Grand Paris,75,Paris,11,Île-de-France,"LINESTRING (2.3395502 48.8635155, 2.3389368 48.8636594)",2.3392435000000003,48.86358745
