id,id_fantoir,numero,rep,nom_voie,code_postal,code_insee,nom_commune,code_insee_ancienne_commune,nom_ancienne_commune,x,y,lon,lat,type_position,alias,nom_ld,libelle_acheminement,nom_afnor,source_position,source_nom_voie,certification_commune,cad_parcelles,building_id,iris_code,has_pv,pv_capacity_kwp,nom_iris,dist_to_bt_line_m
75101_8249_00127,75101_8249,127,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650785.57,6862936.58,2.329153,48.864579,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00127,751010105.0,False,0.0,Tuileries,0.8967244049894203
75101_8249_00128,75101_8249,128,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651923.2,6862391.82,2.344721,48.859766,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00128,751010202.0,False,0.0,Les Halles 2,1.7488302275752703
75101_8249_00129,75101_8249,129,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650761.68,6862948.23,2.328826,48.864682,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00129,751010105.0,True,2.75,Tuileries,14.81845783841218
75101_8249_00130,75101_8249,130,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651893.02,6862406.97,2.344308,48.8599,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00130,751010202.0,True,13.64,Les Halles 2,1.508091627935103
75101_8249_00131,75101_8249,131,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650737.57,6862960.22,2.328496,48.864788,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00131,751010401.0,True,14.36,Place Vendôme 1,19.650248858557195
75101_8249_00132,75101_8249,132,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651856.86,6862425.17,2.343813,48.860061,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00132,751010202.0,False,0.0,Les Halles 2,2.3643210831280657
75101_8249_00133,75101_8249,133,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650713.54,6862972.1,2.328167,48.864893,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00133,751010401.0,False,0.0,Place Vendôme 1,19.95050335275912
75101_8249_00134,75101_8249,134,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651848.53,6862429.47,2.343699,48.860099,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00134,751010202.0,False,0.0,Les Halles 2,2.511345435852645
75101_8249_00135,75101_8249,135,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,650689.21,6862984.54,2.327834,48.865003,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00135,751010401.0,False,0.0,Place Vendôme 1,19.50205591889888
75101_8249_00136,75101_8249,136,,Rue de Rivoli,75001,75101,Paris 1er Arrondissement,,,651840.93,6862433.31,2.343595,48.860133,parcelle,,,PARIS,RUE DE RIVOLI,commune,commune,1,,75101_8249_00136,751010202.0,True,11.96,Les Halles 2,2.481719110026897
